1,1,54.08,59.69,122.08,57.92,1,1,1.0
1,2,93.7,0.25,225.65000000000003,62.57,1,1,1.0
1,3,310.9,0.0,399.20000000000005,113.9,1,1,1.0
1,4,0.0,11.34,18.51,31.8,1,1,1.0
2,1,36.26,56.1,115.84,54.38999999999999,1,1,1.0
2,2,93.7,0.25,224.61,62.57,1,1,1.0
2,3,310.9,0.0,398.30000000000007,113.9,1,1,1.0
2,4,0.0,16.9,10.8,23.700000000000003,1,1,1.0
3,1,19.33,55.2,113.17,51.7,1,1,1.0
3,2,93.7,0.25,223.57999999999998,62.57,1,1,1.0
3,3,310.9,0.0,396.5,113.9,1,1,1.0
3,4,0.0,24.6,3.1,15.600000000000001,1,1,1.0
4,1,4.18,52.5,109.62,49.900000000000006,1,1,1.0
4,2,93.7,0.25,222.54000000000002,62.57,1,1,1.0
4,3,310.0,0.0,394.70000000000005,113.9,1,1,1.0
5,1,0.62,49.83,92.69,49.900000000000006,1,1,1.0
5,2,93.7,0.25,221.5,62.57,1,1,1.0
5,3,309.1,0.0,393.79999999999995,113.0,1,1,1.0
6,1,0.62,48.04,74.88,47.26,1,1,1.0
6,2,93.8,0.25,221.26999999999998,62.41,1,1,1.0
6,3,308.2,0.0,394.7,113.0,1,1,1.0
7,1,0.0,43.59,59.5,46.41,1,1,1.0
7,2,93.89,0.25,221.04000000000002,62.25,1,1,1.0
7,3,307.75,0.0,395.15,112.55,1,1,1.0
8,1,0.0,42.5,42.9,43.400000000000006,1,1,1.0
8,2,93.99,0.25,220.81,62.09,1,1,1.0
8,3,307.3,0.0,395.59999999999997,112.1,1,1,1.0
9,1,0.0,44.7,25.8,33.8,1,1,1.0
9,2,94.09,0.25,220.57000000000002,61.93,1,1,1.0
9,3,307.21,0.0,395.69,112.1,1,1,1.0
10,1,0.0,48.8,12.1,26.400000000000006,1,1,1.0
10,2,94.18,0.25,220.34999999999997,61.76,1,1,1.0
10,3,307.12,0.0,395.78,112.1,1,1,1.0
10,5,912.4,190.98,47.60000000000002,81.44000000000003,1,1,1.0
11,2,94.28,0.25,220.10999999999999,61.6,1,1,1.0
11,3,307.03,0.0,395.87,112.1,1,1,1.0
11,5,864.1,185.5,95.89999999999998,85.5,1,1,1.0
12,2,94.37,0.25,219.89,61.44,1,1,1.0
12,3,306.94,0.0,395.96,112.1,1,1,1.0
12,5,819.93,168.94,140.07000000000005,97.95999999999998,1,1,1.0
13,2,94.47,0.25,219.65,61.28,1,1,1.0
13,3,306.85,0.0,396.04999999999995,112.1,1,1,1.0
